	count	mean	std	min	25%	50%	75%	max
bmw	2736.0	14014.950292397662	9438.041501110667	1126.0	6410.75	12276.5	19647.25	72908.0
toyota	1570.0	9230.764331210192	7467.1024653505965	1028.0	4108.0	6768.5	10795.0	50304.0
ford	6166.0	14835.941128770677	11657.9589820513	1008.0	6098.75	11678.5	20718.0	95329.0
nissan	877.0	9971.844925883694	7575.273671451465	1109.0	4916.0	7772.0	12302.0	59246.0
volkswagen	691.0	7945.570188133141	5389.6183349244175	1104.0	4776.0	6676.0	8844.5	46529.0
FORD	663.0	14196.277526395173	11667.108142002584	1004.0	5802.5	10029.0	20350.5	83856.0
lexus	167.0	10856.179640718563	7576.190132206427	1071.0	5780.0	8520.0	14227.0	48086.0
buick	590.0	10569.33559322034	8102.282877859586	1069.0	4928.25	7610.0	14610.5	51552.0
subaru	250.0	13551.616	8894.293524826302	1021.0	6955.75	9970.0	19696.75	42075.0
ram	1457.0	24487.552505147563	16088.287830599478	1135.0	14553.0	20950.0	33196.0	89408.0
TOYOTA	182.0	8881.697802197803	7238.88054682182	1033.0	4009.75	6523.5	9645.5	38953.0
dodge	383.0	12907.159268929503	9581.712299466637	1043.0	5841.5	8959.0	18820.5	56086.0
ｂｍｗ	39.0	12512.461538461539	8194.2270045703	2261.0	5912.0	9062.0	18552.5	34169.0
chevrolet	3339.0	15060.421683138664	11964.828217558957	1020.0	6407.5	11693.0	20403.0	96818.0
RAM	159.0	23794.427672955975	15339.623543669768	1281.0	14120.5	20511.0	32197.5	76345.0
BMW	263.0	13784.42205323194	10099.333279738668	2008.0	6475.5	9763.0	18359.0	73208.0
jeep	1156.0	15053.748269896194	11094.793168614096	1019.0	6209.75	10704.5	22055.75	81011.0
ｃｈｅｖｒｏｌｅｔ	70.0	14308.271428571428	10361.325280239973	1449.0	6263.25	11552.5	18814.25	49868.0
honda	1526.0	8962.536697247706	6359.764021266309	1107.0	4687.5	7236.5	10949.25	71461.0
NISSAN	102.0	10296.127450980392	6955.342395244146	1969.0	5184.0	8185.0	13341.5	34354.0
hyundai	334.0	7812.002994011976	5759.88946627057	1458.0	4468.0	6417.0	9093.5	51735.0
chrysler	210.0	7887.480952380953	5712.257793771764	1060.0	3916.5	6428.5	8862.0	34251.0
gmc	327.0	16340.189602446484	11537.934836935246	1005.0	6451.5	15886.0	22294.0	69584.0
mazda	294.0	7937.877551020408	5682.258896711362	1233.0	4297.0	6348.5	8977.5	41670.0
audi	297.0	14396.643097643098	7771.449668273912	1157.0	7989.0	12840.0	20539.0	42069.0
lincoln	136.0	9315.610294117647	6321.915124944684	1145.0	4920.0	7420.0	11943.75	32955.0
kia	592.0	10344.969594594595	6237.687711447053	1230.0	6178.25	8343.5	13078.75	39593.0
mercedes-benz	172.0	14652.296511627907	10168.49378861543	1364.0	6711.0	12713.0	20400.0	66679.0
mitsubishi	182.0	12024.23076923077	8460.561109583263	1283.0	5652.25	9111.5	18285.25	39625.0
CHEVROLET	391.0	14567.567774936062	10900.711633786066	1177.0	6358.0	10877.0	19997.0	72606.0
GMC	39.0	16124.153846153846	11975.169280285687	1395.0	5933.0	16227.0	23599.0	47293.0
ｆｏｒｄ	105.0	14001.6	10249.149357385715	1470.0	5914.0	10796.0	20709.0	39747.0
BUICK	80.0	13196.675	11109.15266029533	1154.0	4901.0	9571.0	19291.25	68300.0
