from,to
bmw,bmw
toyota,toyota
ford,ford
nissan,nissan
volkswagen,volkswagen
FORD,ford
lexus,lexus
buick,buick
subaru,subaru
ram,ram
TOYOTA,toyota
dodge,dodge
ｂｍｗ,bmw
chevrolet,chevrolet
RAM,ram
BMW,bmw
jeep,jeep
ｃｈｅｖｒｏｌｅｔ,chevrolet
honda,honda
NISSAN,nissan
hyundai,hyundai
chrysler,chrysler
gmc,gmc
mazda,mazda
audi,audi
lincoln,lincoln
kia,kia
mercedes-benz,mercedes_benz
mitsubishi,mitsubishi
CHEVROLET,chevrolet
GMC,gmc
ｆｏｒｄ,ford
BUICK,buick
saturn,saturn
infiniti,infiniti
MINI,mini
mercury,mercury
cadillac,cadillac
MERCEDES-BENZ,mercedes_benz
pontiac,pontiac
acura,acura
HONDA,honda
ACURA,acura
KIA,kia
fiat,fiat
jaguar,jaguar
ｒａｍ,ram
mini,mini
LEXUS,lexus
VOLKSWAGEN,volkswagen
ｋｉａ,kia
SUBARU,subaru
ｎｉｓｓａｎ,nissan
DODGE,dodge
volvo,volvo
HYUNDAI,hyundai
MAZDA,mazda
ｈｏｎｄａ,honda
ｍａｚｄａ,mazda
INFINITI,infiniti
CADILLAC,cadillac
JEEP,jeep
LINCOLN,lincoln
ｔｏｙｏｔａ,toyota
niѕsan,nissan
AUDI,audi
ＶＯＬＫＳＷＡＧＥＮ,volkswagen
ＣＨＥＶＲＯＬＥＴ,chevrolet
MERCURY,mercury
ｂｕｉｃｋ,buick
ROVER,rover
ｄｏｄｇｅ,dodge
porsche,porsche
ｖｏｌｖｏ,volvo
ｖｏｌｋｓｗａｇｅｎ,volkswagen
JAGUAR,jaguar
SATURN,saturn
ｊｅｅｐ,jeep
rover,rover
ｓｕｂａｒｕ,subaru
CHRYSLER,chrysler
PONTIAC,pontiac
ｍｉｔｓｕｂｉｓｈｉ,mitsubishi
ＴＯＹＯＴＡ,toyota
ＢＭＷ,bmw
ｃｈｒｙｓｌｅｒ,chrysler
nisѕan,nissan
MITSUBISHI,mitsubishi
ｈｙｕｎｄａｉ,hyundai
ｇｍｃ,gmc
ＦＯＲＤ,ford
ＨＹＵＮＤＡＩ,hyundai
ＭＡＺＤＡ,mazda
land rover,land_rover
VOLVO,volvo
aston-martin,aston_martin
ａｃｕｒａ,acura
ｌｅｘｕｓ,lexus
SUBΑRU,subaru
ｓａｔｕｒｎ,saturn
alfa-romeo,alfa_romeo
ａｕｄｉ,audi
ＳＵＢＡＲＵ,subaru
ｍｅｒｃｅｄｅｓ－ｂｅｎｚ,mercedes_benz
ｃａｄｉｌｌａｃ,cadillac
ｉｎｆｉｎｉｔｉ,infiniti
toyotа,toyota
ＤＯＤＧＥ,dodge
SΑTURN,saturn
ＣＡＤＩＬＬＡＣ,cadillac
ＲＡＭ,ram
ＭＩＴＳＵＢＩＳＨＩ,mitsubishi
ＢＵＩＣＫ,buick
ｐｏｎｔｉａｃ,pontiac
ＡＣＵＲＡ,acura
ＪＥＥＰ,jeep
ＭＩＮＩ,mini
аcura,acura
vоlkswagen,volkswagen
FIAT,fiat
ｍｅｒｃｕｒｙ,mercury
lexuѕ,lexus
ＮＩＳＳＡＮ,nissan
ＭＥＲＣＵＲＹ,mercury
ᴄhrysler,chrysler
