id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
27532,western slope,2015,chevrolet,excellent,4 cylinders,gas,92553,clean,automatic,fwd,full-size,SUV,red,,11354.747295264173
27533,roseburg,2013,nissan,like new,4 cylinders,gas,134385,salvage,automatic,fwd,mid-size,sedan,black,or,7707.2895835755935
27534,akron / canton,2011,volkswagen,good,4 cylinders,gas,102489,clean,automatic,fwd,full-size,sedan,black,oh,6128.014335612317
27535,denver,2016,jeep,excellent,6 cylinders,diesel,64310,clean,automatic,4wd,mid-size,SUV,red,co,21386.50509575407
27536,hickory / lenoir,1999,honda,excellent,8 cylinders,gas,180839,rebuilt,automatic,4wd,mid-size,SUV,silver,nc,8407.915865996005
27537,eugene,2006,CHEVROLET,like new,8 cylinders,gas,75166,rebuilt,automatic,rwd,mid-size,truck,green,or,16716.257351686447
27538,new york city,2005,mercury,good,6 cylinders,gas,178611,rebuilt,manual,fwd,compact,SUV,yellow,ny,4328.033226469283
27539,salt lake city,2002,ram,good,6 cylinders,diesel,216708,salvage,manual,4wd,full-size,truck,green,ut,9047.75927219482
27540,gulfport / biloxi,2013,fiat,fair,4 cylinders,gas,185626,lien,manual,fwd,compact,coupe,blue,ms,4180.769402497481
27541,st cloud,2015,honda,excellent,6 cylinders,gas,230620,clean,automatic,fwd,full-size,sedan,brown,mn,3978.097464336242
27542,sarasota-bradenton,2012,nissan,excellent,4 cylinders,gas,100173,clean,automatic,fwd,full-size,sedan,silver,fl,7917.413615340875
27543,central NJ,2016,nissan,fair,4 cylinders,gas,227064,clean,automatic,fwd,compact,hatchback,blue,nj,3413.6879438079827
27544,"st louis, MO",2015,chevrolet,good,6 cylinders,gas,64469,lien,automatic,rwd,full-size,truck,white,mo,20029.764223284932
27545,albany,2012,bmw,excellent,6 cylinders,gas,113859,clean,other,fwd,mid-size,sedan,black,ny,8592.140089839842
27546,rhode island,2009,honda,good,4 cylinders,,169847,clean,automatic,fwd,compact,hatchback,silver,ri,4724.8923754838315
27547,baltimore,2013,toyota,excellent,4 cylinders,gas,131936,clean,manual,fwd,compact,SUV,black,md,8083.444166544855
27548,san antonio,2008,ram,fair,8 cylinders,diesel,352256,clean,manual,4wd,full-size,truck,green,tx,4144.777845100553
27549,"kansas city, MO",1986,BMW,good,6 cylinders,gas,103442,rebuilt,automatic,fwd,mid-size,sedan,black,mo,6451.18821788263
27550,central NJ,2006,honda,good,6 cylinders,gas,110895,clean,other,fwd,full-size,sedan,blue,nj,6210.257459550496
27551,charlotte,2013,chevrolet,excellent,4 cylinders,gas,105704,clean,automatic,fwd,compact,sedan,black,nc,9036.468853670533
27552,pittsburgh,2001,ram,fair,8 cylinders,gas,78491,clean,manual,4wd,full-size,truck,silver,pa,11557.591829852932
27553,nashville,2012,ford,excellent,4 cylinders,gas,134537,clean,automatic,fwd,mid-size,sedan,white,tn,9039.504795377152
27554,north jersey,2012,bmw,excellent,6 cylinders,gas,104123,clean,automatic,4wd,mid-size,sedan,black,nj,12388.209351850697
27555,charleston,2001,ram,excellent,6 cylinders,diesel,163188,clean,automatic,4wd,full-size,truck,blue,,19061.892217081673
27556,los angeles,2014,HONDA,good,4 cylinders,gas,63957,clean,automatic,fwd,full-size,SUV,blue,ca,9651.238404874766
27557,detroit metro,2015,kia,like new,4 cylinders,gas,38260,clean,automatic,fwd,compact,sedan,black,mi,11329.0824265663
27558,humboldt county,2015,ford,excellent,8 cylinders,gas,198094,clean,automatic,4wd,full-size,pickup,black,ca,11388.890298010685
27559,richmond,2011,ford,good,4 cylinders,gas,88931,clean,other,fwd,compact,truck,blue,va,10518.823789298338
27560,tampa bay area,2012,ford,excellent,6 cylinders,gas,77626,rebuilt,automatic,fwd,mid-size,sedan,silver,fl,10997.439150609884
27561,los angeles,2010,chevrolet,fair,4 cylinders,gas,43097,clean,automatic,fwd,full-size,SUV,black,ca,9376.812674375084
27562,stockton,2013,honda,excellent,4 cylinders,gas,85182,clean,automatic,fwd,full-size,sedan,blue,ca,9236.780829595056
27563,kennewick-pasco-richland,1975,ford,good,4 cylinders,gas,7851,clean,manual,fwd,full-size,coupe,white,wa,10044.357230478356
27564,winston-salem,1986,chevrolet,like new,8 cylinders,gas,37296,salvage,automatic,rwd,mid-size,SUV,green,nc,12671.96875439907
27565,jacksonville,2001,chevrolet,good,6 cylinders,gas,172424,clean,manual,4wd,full-size,SUV,black,fl,8328.703075754502
27566,bakersfield,1995,ford,good,8 cylinders,,163292,clean,automatic,4wd,full-size,truck,black,ca,9673.34512891472
27567,missoula,2017,bmw,like new,6 cylinders,gas,134642,clean,automatic,fwd,full-size,sedan,orange,mt,7694.816499147981
27568,jacksonville,2016,ｂｕｉｃｋ,excellent,4 cylinders,gas,72529,rebuilt,automatic,fwd,mid-size,SUV,blue,fl,14086.83727000963
27569,dallas / fort worth,2003,buick,like new,4 cylinders,gas,153680,missing,manual,fwd,compact,sedan,black,tx,5909.737169982031
27570,tallahassee,2013,honda,excellent,4 cylinders,gas,132406,clean,manual,fwd,compact,sedan,silver,fl,6063.025684134044
27571,evansville,2013,kia,excellent,4 cylinders,gas,101354,rebuilt,automatic,4wd,mid-size,SUV,blue,in,16095.984731789184
27572,minneapolis / st paul,2012,kia,like new,6 cylinders,gas,119482,clean,automatic,fwd,full-size,sedan,silver,mn,7705.623565687475
27573,tampa bay area,2012,jeep,excellent,6 cylinders,gas,152803,rebuilt,automatic,4wd,mid-size,SUV,black,fl,12915.587254488837
27574,jersey shore,2014,honda,like new,4 cylinders,gas,113842,rebuilt,automatic,fwd,mid-size,SUV,silver,,10078.606270942943
27575,houston,2006,ford,like new,6 cylinders,gas,120542,clean,manual,4wd,mid-size,pickup,green,tx,12334.737908809615
27576,minneapolis / st paul,1988,ford,good,6 cylinders,diesel,48948,clean,manual,4wd,full-size,truck,black,mn,19031.71408856687
27577,el paso,2014,toyota,excellent,6 cylinders,gas,49918,salvage,automatic,fwd,mid-size,sedan,black,,10894.849082227083
27578,plattsburgh-adirondacks,2002,ram,fair,8 cylinders,diesel,94256,clean,automatic,4wd,full-size,pickup,blue,ny,15584.921693559752
27579,indianapolis,1964,ford,good,8 cylinders,diesel,26668,clean,automatic,rwd,full-size,truck,white,in,17254.68285982026
27580,rockford,2012,honda,excellent,6 cylinders,gas,212159,clean,automatic,fwd,mid-size,SUV,silver,il,5508.892616956553
27581,south jersey,2001,ford,good,4 cylinders,gas,218991,clean,automatic,fwd,mid-size,sedan,white,nj,4598.194981069034
27582,indianapolis,2007,FORD,excellent,6 cylinders,gas,184301,clean,other,fwd,mid-size,sedan,silver,in,5960.496509539859
27583,harrisburg,2010,chevrolet,excellent,8 cylinders,gas,114797,clean,automatic,fwd,full-size,SUV,blue,pa,10692.219222497244
