,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
name,,,,,,,,,,,,,
PATT0000001,True,,,,,,,,,,,,
PATT0000002,,True,,,,,,,,,,,
PATT0000003,,,True,,,,,,,,,,
PATT0000004,,,,True,,,,,,,,,
PATT0000005,,,,,True,,,,,,,,
PATT0000006,,,,,,True,,,,,,,
PATT0000007,,,,,,,True,,,,,,
PATT0000008,,,,,,,,True,,,,,
PATT0000009,,,,,,,,,True,,,,
PATT0000010,,,,,,,,,,True,,,
PATT0000011,,,,,,,,,,,True,,
PATT0000012,,,,,,,,,,,,True,
PATT0000013,,,,,,,,,,,,,True
PATT0000014,True,True,,,,,,,,,,,
PATT0000015,True,,True,,,,,,,,,,
PATT0000016,True,,,True,,,,,,,,,
PATT0000017,True,,,,True,,,,,,,,
PATT0000018,True,,,,,True,,,,,,,
PATT0000019,True,,,,,,True,,,,,,
PATT0000020,True,,,,,,,True,,,,,
PATT0000021,True,,,,,,,,True,,,,
PATT0000022,True,,,,,,,,,True,,,
PATT0000023,True,,,,,,,,,,True,,
PATT0000024,True,,,,,,,,,,,True,
PATT0000025,True,,,,,,,,,,,,True
PATT0000026,,True,True,,,,,,,,,,
PATT0000027,,True,,True,,,,,,,,,
PATT0000028,,True,,,True,,,,,,,,
PATT0000029,,True,,,,True,,,,,,,
PATT0000030,,True,,,,,True,,,,,,
PATT0000031,,True,,,,,,True,,,,,
PATT0000032,,True,,,,,,,True,,,,
PATT0000033,,True,,,,,,,,True,,,
PATT0000034,,True,,,,,,,,,True,,
PATT0000035,,True,,,,,,,,,,True,
PATT0000036,,True,,,,,,,,,,,True
PATT0000037,,,True,True,,,,,,,,,
PATT0000038,,,True,,True,,,,,,,,
PATT0000039,,,True,,,True,,,,,,,
PATT0000040,,,True,,,,True,,,,,,
PATT0000041,,,True,,,,,True,,,,,
PATT0000042,,,True,,,,,,True,,,,
PATT0000043,,,True,,,,,,,True,,,
PATT0000044,,,True,,,,,,,,True,,
PATT0000045,,,True,,,,,,,,,True,
PATT0000046,,,True,,,,,,,,,,True
PATT0000047,,,,True,True,,,,,,,,
PATT0000048,,,,True,,True,,,,,,,
PATT0000049,,,,True,,,True,,,,,,
PATT0000050,,,,True,,,,True,,,,,
PATT0000051,,,,True,,,,,True,,,,
PATT0000052,,,,True,,,,,,True,,,
PATT0000053,,,,True,,,,,,,True,,
PATT0000054,,,,True,,,,,,,,True,
PATT0000055,,,,True,,,,,,,,,True
PATT0000056,,,,,True,True,,,,,,,
PATT0000057,,,,,True,,True,,,,,,
PATT0000058,,,,,True,,,True,,,,,
PATT0000059,,,,,True,,,,True,,,,
PATT0000060,,,,,True,,,,,True,,,
PATT0000061,,,,,True,,,,,,True,,
PATT0000062,,,,,True,,,,,,,True,
PATT0000063,,,,,True,,,,,,,,True
PATT0000064,,,,,,True,True,,,,,,
PATT0000065,,,,,,True,,True,,,,,
PATT0000066,,,,,,True,,,True,,,,
PATT0000067,,,,,,True,,,,True,,,
PATT0000068,,,,,,True,,,,,True,,
PATT0000069,,,,,,True,,,,,,True,
PATT0000070,,,,,,True,,,,,,,True
PATT0000071,,,,,,,True,True,,,,,
PATT0000072,,,,,,,True,,True,,,,
PATT0000073,,,,,,,True,,,True,,,
PATT0000074,,,,,,,True,,,,True,,
PATT0000075,,,,,,,True,,,,,True,
PATT0000076,,,,,,,True,,,,,,True
PATT0000077,,,,,,,,True,True,,,,
PATT0000078,,,,,,,,True,,True,,,
PATT0000079,,,,,,,,True,,,True,,
PATT0000080,,,,,,,,True,,,,True,
PATT0000081,,,,,,,,True,,,,,True
PATT0000082,,,,,,,,,True,True,,,
PATT0000083,,,,,,,,,True,,True,,
PATT0000084,,,,,,,,,True,,,True,
PATT0000085,,,,,,,,,True,,,,True
PATT0000086,,,,,,,,,,True,True,,
PATT0000087,,,,,,,,,,True,,True,
PATT0000088,,,,,,,,,,True,,,True
PATT0000089,,,,,,,,,,,True,True,
PATT0000090,,,,,,,,,,,True,,True
PATT0000091,,,,,,,,,,,,True,True
PATT0000092,True,True,True,,,,,,,,,,
PATT0000093,True,True,,True,,,,,,,,,
PATT0000094,True,True,,,True,,,,,,,,
PATT0000095,True,True,,,,True,,,,,,,
PATT0000096,True,True,,,,,True,,,,,,
PATT0000097,True,True,,,,,,True,,,,,
PATT0000098,True,True,,,,,,,True,,,,
PATT0000099,True,True,,,,,,,,True,,,
PATT0000100,True,True,,,,,,,,,True,,
PATT0000101,True,True,,,,,,,,,,True,
PATT0000102,True,True,,,,,,,,,,,True
PATT0000103,True,,True,True,,,,,,,,,
PATT0000104,True,,True,,True,,,,,,,,
PATT0000105,True,,True,,,True,,,,,,,
PATT0000106,True,,True,,,,True,,,,,,
PATT0000107,True,,True,,,,,True,,,,,
PATT0000108,True,,True,,,,,,True,,,,
PATT0000109,True,,True,,,,,,,True,,,
PATT0000110,True,,True,,,,,,,,True,,
PATT0000111,True,,True,,,,,,,,,True,
PATT0000112,True,,True,,,,,,,,,,True
PATT0000113,True,,,True,True,,,,,,,,
PATT0000114,True,,,True,,True,,,,,,,
PATT0000115,True,,,True,,,True,,,,,,
PATT0000116,True,,,True,,,,True,,,,,
PATT0000117,True,,,True,,,,,True,,,,
PATT0000118,True,,,True,,,,,,True,,,
PATT0000119,True,,,True,,,,,,,True,,
PATT0000120,True,,,True,,,,,,,,True,
PATT0000121,True,,,True,,,,,,,,,True
PATT0000122,True,,,,True,True,,,,,,,
PATT0000123,True,,,,True,,True,,,,,,
PATT0000124,True,,,,True,,,True,,,,,
PATT0000125,True,,,,True,,,,True,,,,
PATT0000126,True,,,,True,,,,,True,,,
PATT0000127,True,,,,True,,,,,,True,,
PATT0000128,True,,,,True,,,,,,,True,
PATT0000129,True,,,,True,,,,,,,,True
PATT0000130,True,,,,,True,True,,,,,,
PATT0000131,True,,,,,True,,True,,,,,
PATT0000132,True,,,,,True,,,True,,,,
PATT0000133,True,,,,,True,,,,True,,,
PATT0000134,True,,,,,True,,,,,True,,
PATT0000135,True,,,,,True,,,,,,True,
PATT0000136,True,,,,,True,,,,,,,True
PATT0000137,True,,,,,,True,True,,,,,
PATT0000138,True,,,,,,True,,True,,,,
PATT0000139,True,,,,,,True,,,True,,,
PATT0000140,True,,,,,,True,,,,True,,
PATT0000141,True,,,,,,True,,,,,True,
PATT0000142,True,,,,,,True,,,,,,True
PATT0000143,True,,,,,,,True,True,,,,
PATT0000144,True,,,,,,,True,,True,,,
PATT0000145,True,,,,,,,True,,,True,,
PATT0000146,True,,,,,,,True,,,,True,
PATT0000147,True,,,,,,,True,,,,,True
PATT0000148,True,,,,,,,,True,True,,,
PATT0000149,True,,,,,,,,True,,True,,
PATT0000150,True,,,,,,,,True,,,True,
PATT0000151,True,,,,,,,,True,,,,True
PATT0000152,True,,,,,,,,,True,True,,
PATT0000153,True,,,,,,,,,True,,True,
PATT0000154,True,,,,,,,,,True,,,True
PATT0000155,True,,,,,,,,,,True,True,
PATT0000156,True,,,,,,,,,,True,,True
PATT0000157,True,,,,,,,,,,,True,True
PATT0000158,,True,True,True,,,,,,,,,
PATT0000159,,True,True,,True,,,,,,,,
PATT0000160,,True,True,,,True,,,,,,,
PATT0000161,,True,True,,,,True,,,,,,
PATT0000162,,True,True,,,,,True,,,,,
PATT0000163,,True,True,,,,,,True,,,,
PATT0000164,,True,True,,,,,,,True,,,
PATT0000165,,True,True,,,,,,,,True,,
PATT0000166,,True,True,,,,,,,,,True,
PATT0000167,,True,True,,,,,,,,,,True
PATT0000168,,True,,True,True,,,,,,,,
PATT0000169,,True,,True,,True,,,,,,,
PATT0000170,,True,,True,,,True,,,,,,
PATT0000171,,True,,True,,,,True,,,,,
PATT0000172,,True,,True,,,,,True,,,,
PATT0000173,,True,,True,,,,,,True,,,
PATT0000174,,True,,True,,,,,,,True,,
PATT0000175,,True,,True,,,,,,,,True,
PATT0000176,,True,,True,,,,,,,,,True
PATT0000177,,True,,,True,True,,,,,,,
PATT0000178,,True,,,True,,True,,,,,,
PATT0000179,,True,,,True,,,True,,,,,
PATT0000180,,True,,,True,,,,True,,,,
PATT0000181,,True,,,True,,,,,True,,,
PATT0000182,,True,,,True,,,,,,True,,
PATT0000183,,True,,,True,,,,,,,True,
PATT0000184,,True,,,True,,,,,,,,True
PATT0000185,,True,,,,True,True,,,,,,
PATT0000186,,True,,,,True,,True,,,,,
PATT0000187,,True,,,,True,,,True,,,,
PATT0000188,,True,,,,True,,,,True,,,
PATT0000189,,True,,,,True,,,,,True,,
PATT0000190,,True,,,,True,,,,,,True,
PATT0000191,,True,,,,True,,,,,,,True
PATT0000192,,True,,,,,True,True,,,,,
PATT0000193,,True,,,,,True,,True,,,,
PATT0000194,,True,,,,,True,,,True,,,
PATT0000195,,True,,,,,True,,,,True,,
PATT0000196,,True,,,,,True,,,,,True,
PATT0000197,,True,,,,,True,,,,,,True
