,pattern,alpha,train_rmse,test_rmse
0,PATT0000001,0.001,0.7877287650039141,0.7863417553451102
1,PATT0000001,0.01,0.7900328768390373,0.7866829908468563
2,PATT0000001,0.1,0.7961987306481526,0.7908861869930601
3,PATT0000002,0.001,0.7365551162315567,0.7365325241134378
4,PATT0000002,0.01,0.7406575917440107,0.7390567053202279
5,PATT0000002,0.1,0.793245837028685,0.7877917407739934
6,PATT0000003,0.001,0.7499322235901364,0.7479288674364549
7,PATT0000003,0.01,0.7518857963670817,0.7491016325410562
8,PATT0000003,0.1,0.7854879621080479,0.7800334498849162
9,PATT0000004,0.001,0.7569953393317818,0.749961128501966
10,PATT0000004,0.01,0.7572458480353713,0.750243425042285
11,PATT0000004,0.1,0.7738098724051925,0.7677619006930567
12,PATT0000005,0.001,0.7820927129964242,0.7777197351726073
13,PATT0000005,0.01,0.7822880546535012,0.7780361686917278
14,PATT0000005,0.1,0.7895905187851072,0.7846273106623487
15,PATT0000006,0.001,0.7643707368617597,0.7579415344206306
16,PATT0000006,0.01,0.7645332374752444,0.7581212945962986
17,PATT0000006,0.1,0.771018094641148,0.7651349664674044
18,PATT0000007,0.001,0.7190873955011341,0.7164026287841896
19,PATT0000007,0.01,0.7191562294582483,0.7163559348585863
20,PATT0000007,0.1,0.7260066682673133,0.7221780593039464
21,PATT0000008,0.001,0.7926190502507449,0.7871772434898084
22,PATT0000008,0.01,0.7929385338887632,0.787504572503372
23,PATT0000008,0.1,0.7961987306481526,0.7908861869930601
24,PATT0000009,0.001,0.7924865783498067,0.7857886582890093
25,PATT0000009,0.01,0.7925517146909717,0.7860269086300447
26,PATT0000009,0.1,0.7961987306481526,0.7908861869930601
27,PATT0000010,0.001,0.744644347656167,0.7400345119146241
28,PATT0000010,0.01,0.7447232087207926,0.7401056573463402
29,PATT0000010,0.1,0.7525728514043206,0.7479057677723632
30,PATT0000011,0.001,0.7829513750030085,0.776861077391016
31,PATT0000011,0.01,0.783101137179124,0.777133394892368
32,PATT0000011,0.1,0.7921883825759478,0.7868090480968828
33,PATT0000012,0.001,0.7561075347102578,0.7506552149115715
34,PATT0000012,0.01,0.7567269329016585,0.7512509421449316
35,PATT0000012,0.1,0.777611823541108,0.7721411102060446
36,PATT0000013,0.001,0.7714517972838726,0.7651719414822805
37,PATT0000013,0.01,0.7719028778047156,0.7656242756528057
38,PATT0000013,0.1,0.7891990243998334,0.7842022221516707
39,PATT0000014,0.001,0.7299496116566733,0.7338305157057623
40,PATT0000014,0.01,0.7362947517699744,0.7366627562010744
41,PATT0000014,0.1,0.793245837028685,0.7877917407739934
42,PATT0000015,0.001,0.7431405795099311,0.7450054398871455
43,PATT0000015,0.01,0.7472096927522149,0.7460919947718931
44,PATT0000015,0.1,0.7854879621080479,0.7800334498849162
45,PATT0000016,0.001,0.7497648554586104,0.7461338439772798
46,PATT0000016,0.01,0.7521053529838405,0.7466421087907973
47,PATT0000016,0.1,0.7738098724051925,0.7677619006930567
48,PATT0000017,0.001,0.774604419462319,0.7739571409640807
49,PATT0000017,0.01,0.7770132608542322,0.7744664034215442
50,PATT0000017,0.1,0.7895905187851072,0.7846273106623487
51,PATT0000018,0.001,0.7577370320380777,0.7550071116421917
52,PATT0000018,0.01,0.759980354983411,0.7550373080096209
53,PATT0000018,0.1,0.771018094641148,0.7651349664674044
54,PATT0000019,0.001,0.7126705488946735,0.7132807272989532
55,PATT0000019,0.01,0.7149359873975962,0.7137151713307812
56,PATT0000019,0.1,0.7260066682673133,0.7221780593039464
57,PATT0000020,0.001,0.7843184447297253,0.7827206476000476
58,PATT0000020,0.01,0.7869557216029982,0.7834716097622486
59,PATT0000020,0.1,0.7961987306481526,0.7908861869930601
60,PATT0000021,0.001,0.7840890921034696,0.7815379270054018
61,PATT0000021,0.01,0.7864535079830369,0.7820072668897405
62,PATT0000021,0.1,0.7961987306481526,0.7908861869930601
63,PATT0000022,0.001,0.7388743549512868,0.7372815926353141
64,PATT0000022,0.01,0.7410546090948118,0.737580125530314
65,PATT0000022,0.1,0.7525728514043206,0.7479057677723632
66,PATT0000023,0.001,0.7750392378301953,0.7726882517389925
67,PATT0000023,0.01,0.7774402407926522,0.77316855500103
68,PATT0000023,0.1,0.7921883825759478,0.7868090480968828
69,PATT0000024,0.001,0.7494441839359323,0.746842871776556
70,PATT0000024,0.01,0.752159142599032,0.7477091524175982
71,PATT0000024,0.1,0.777611823541108,0.7721411102060446
72,PATT0000025,0.001,0.7647042439478318,0.7615705719441823
73,PATT0000025,0.01,0.767344170649482,0.7623394219031704
74,PATT0000025,0.1,0.7891990243998334,0.7842022221516707
75,PATT0000026,0.001,0.6812063570000569,0.6847717501949234
76,PATT0000026,0.01,0.6880303711614456,0.6891767155682827
77,PATT0000026,0.1,0.7833956207709653,0.7778058839234168
78,PATT0000027,0.001,0.7158754407994621,0.7131215525455342
79,PATT0000027,0.01,0.7197457930430815,0.7154716550336359
80,PATT0000027,0.1,0.7728463130484031,0.7667288797594877
81,PATT0000028,0.001,0.7028986061062962,0.7038230774432083
82,PATT0000028,0.01,0.707740672727071,0.7070787171046654
83,PATT0000028,0.1,0.7856132861061041,0.7805011706562496
84,PATT0000029,0.001,0.7052189535374459,0.7029661657847767
85,PATT0000029,0.01,0.7095699007502723,0.7059064711796338
86,PATT0000029,0.1,0.7694212891443876,0.7634507649656412
87,PATT0000030,0.001,0.6919645027482769,0.6926440093381668
88,PATT0000030,0.01,0.6956060402371079,0.6946316043092177
89,PATT0000030,0.1,0.7260066682673133,0.7221780593039464
90,PATT0000031,0.001,0.7350934993133886,0.7348491771244351
91,PATT0000031,0.01,0.7394887770462802,0.7378326344697667
92,PATT0000031,0.1,0.793245837028685,0.7877917407739934
93,PATT0000032,0.001,0.7358115892085914,0.7348389075749032
94,PATT0000032,0.01,0.7399084011430772,0.737348385344633
95,PATT0000032,0.1,0.793245837028685,0.7877917407739934
96,PATT0000033,0.001,0.6735082317208623,0.6739964200626212
97,PATT0000033,0.01,0.6779642756284828,0.6764250112094569
98,PATT0000033,0.1,0.7501703623471759,0.7453395922239313
99,PATT0000034,0.001,0.7144590343568231,0.713754504811045
100,PATT0000034,0.01,0.7190127291714963,0.7169313255253357
101,PATT0000034,0.1,0.7889160596191185,0.7833835657073795
102,PATT0000035,0.001,0.6831615710255461,0.6826813683164968
103,PATT0000035,0.01,0.6883527689075115,0.6858934300105084
104,PATT0000035,0.1,0.774967540649459,0.7693626628094561
105,PATT0000036,0.001,0.7219934967257259,0.7198190123574554
106,PATT0000036,0.01,0.7263505751743636,0.7228033258415418
107,PATT0000036,0.1,0.7871020247922373,0.7819746580702837
108,PATT0000037,0.001,0.7075044512974757,0.702149580505934
109,PATT0000037,0.01,0.7098823287352287,0.7040323860025287
110,PATT0000037,0.1,0.762764826096829,0.7565456956111235
111,PATT0000038,0.001,0.748789860035072,0.7465615889722519
112,PATT0000038,0.01,0.7508759543233199,0.7481423904272337
113,PATT0000038,0.1,0.7815122750317643,0.7763549844445218
114,PATT0000039,0.001,0.7369674368847494,0.7340060937487344
115,PATT0000039,0.01,0.7389792878884284,0.7351828289722583
116,PATT0000039,0.1,0.7702958423976133,0.7644108727268186
117,PATT0000040,0.001,0.6794471543187549,0.6752961683818909
118,PATT0000040,0.01,0.6815860539023548,0.6766923913250761
119,PATT0000040,0.1,0.7160792756201907,0.7113696474332187
120,PATT0000041,0.001,0.745182014418323,0.7434329674127184
121,PATT0000041,0.01,0.7474534188387514,0.7447420221180094
122,PATT0000041,0.1,0.7854879621080479,0.7800334498849162
123,PATT0000042,0.001,0.7452273666174207,0.7418158243935489
124,PATT0000042,0.01,0.7472817215934924,0.7432673864760714
125,PATT0000042,0.1,0.7854879621080479,0.7800334498849162
126,PATT0000043,0.001,0.7272063450432001,0.7250436046082226
127,PATT0000043,0.01,0.728968704694244,0.7256656968553431
128,PATT0000043,0.1,0.7506124886246497,0.7459976172918531
129,PATT0000044,0.001,0.7472560626268511,0.7447099353542
130,PATT0000044,0.01,0.7492513846307686,0.7459834851112688
131,PATT0000044,0.1,0.7833618783284375,0.7778876108601122
132,PATT0000045,0.001,0.7341158116066655,0.7330634141103681
133,PATT0000045,0.01,0.7362575833933098,0.7338753270929214
134,PATT0000045,0.1,0.7732173071589432,0.7677418433000155
135,PATT0000046,0.001,0.726709378755565,0.725674320080866
136,PATT0000046,0.01,0.7292627845311356,0.7270310118400365
137,PATT0000046,0.1,0.7779714764049132,0.7728167693491241
138,PATT0000047,0.001,0.7338830078150789,0.7279379371220348
139,PATT0000047,0.01,0.7344568263684849,0.7286159988110903
140,PATT0000047,0.1,0.7643209048615619,0.7587261966965385
141,PATT0000048,0.001,0.7251312719431906,0.716026244047474
142,PATT0000048,0.01,0.7255722494174348,0.7166089025011408
143,PATT0000048,0.1,0.7492336032036426,0.7424764246603636
144,PATT0000049,0.001,0.6987775431223096,0.6962222228647117
145,PATT0000049,0.01,0.6991125391835319,0.6962670521770953
146,PATT0000049,0.1,0.7180086346200742,0.7142180716777466
147,PATT0000050,0.001,0.7550150966377186,0.7478805169972588
148,PATT0000050,0.01,0.7555499659655724,0.7485026420773989
149,PATT0000050,0.1,0.7738098724051925,0.7677619006930567
150,PATT0000051,0.001,0.7565083066035253,0.7490055487179046
151,PATT0000051,0.01,0.7567993046549758,0.7494142865605025
152,PATT0000051,0.1,0.7738098724051925,0.7677619006930567
153,PATT0000052,0.001,0.7013035246187459,0.6948032378972968
154,PATT0000052,0.01,0.7016843862263078,0.6952727777091607
155,PATT0000052,0.1,0.7275380489748897,0.7220087609452689
156,PATT0000053,0.001,0.7390049068792562,0.7309435721234753
157,PATT0000053,0.01,0.7394407557219621,0.7315179437457375
158,PATT0000053,0.1,0.7679203966109331,0.7617219484032316
159,PATT0000054,0.001,0.7064710303182944,0.699613192214564
160,PATT0000054,0.01,0.7073792235359482,0.7004590607059965
161,PATT0000054,0.1,0.7492177519601467,0.7428032795915929
162,PATT0000055,0.001,0.7399979176150758,0.7318693845104236
163,PATT0000055,0.01,0.7406738304551783,0.7326471126634017
164,PATT0000055,0.1,0.7712480475126737,0.7654620085916236
165,PATT0000056,0.001,0.7583958727328587,0.7527053459116659
166,PATT0000056,0.01,0.7587098578684923,0.7531991348902773
167,PATT0000056,0.1,0.7693293145344742,0.7635847470929554
168,PATT0000057,0.001,0.7043456286723205,0.7019770071710851
