,coef
odometer,-0.21078482565530815
region_ak,0.010105525044390508
region_al,-0.004332674380644354
region_ar,0.0
region_az,0.006025264053768532
region_ca,0.007027713309935626
region_co,-0.0005004605171264402
region_ct,-0.003505339892591265
region_dc,0.000949164802957097
region_de,0.0006043988911657744
region_fl,-0.0011508662598532782
region_ga,-0.003983258943490947
region_hi,-0.0015715348573083394
region_ia,0.006433050142943974
region_id,-0.0
region_il,0.009024710501730036
region_in,-0.005613434477095499
region_ks,-0.0006589585322205771
region_ky,-0.005318994054202777
region_la,0.0031486340527397878
region_ma,-0.00022891984643879203
region_md,-0.0062999094618253326
region_me,0.0
region_mi,0.0
region_mn,-0.0
region_mo,-0.005365555026111966
region_ms,0.011805112173528589
region_mt,0.0037478698488400985
region_nc,0.0
region_nd,0.003525146249797001
region_ne,-0.00020759948554229324
region_nh,0.0004178080621094134
region_nj,-0.003078607595317112
region_nm,-0.006452651986902693
region_nv,0.004108959220641762
region_ny,0.010650534205435795
region_oh,-0.0055808453115890775
region_ok,0.0
region_or,0.0008390385247588858
region_pa,0.005981588008175091
region_ri,-0.003063780373990764
region_sc,-0.0018467026149731533
region_sd,-0.0003725554971600487
region_tn,0.0040976734912642355
region_tx,-0.0034572580923272257
region_ut,-0.0047380271540939595
region_va,-0.004623156694012877
region_vt,0.0022439635286869626
region_wa,0.0008568737447283184
region_wi,0.0016489643857053344
region_wv,0.0
region_wy,-0.00039024371891260926
year_1918,0.0
year_1920,0.0
year_1921,-0.0
year_1922,-0.00038136933771281805
year_1923,0.0
year_1925,0.0
year_1926,0.0
year_1928,0.004128947515401041
year_1929,-0.0
year_1930,0.0005320145830732322
year_1931,0.0008758165186672649
year_1932,0.0008465735206872409
year_1933,0.0
year_1934,0.0006029218008920277
year_1935,0.00026236782857362063
year_1936,0.0021887809434318526
year_1937,-0.0005143535488107381
year_1938,0.0011706252071291329
year_1939,0.005501518649335059
year_1940,0.000939414521770111
year_1941,0.0013465271365880784
year_1942,-0.0005928959968849824
year_1943,0.007565305774192323
year_1944,0.0011127887008465472
year_1945,0.000421231767561475
year_1946,0.005905421383872345
year_1947,0.0030286487538802105
year_1948,0.005372694884151651
year_1949,0.004319229798382683
year_1950,0.0017818530998301872
year_1951,0.005667250552907467
year_1952,0.005549937556439764
year_1953,-0.0037767086313604216
year_1954,0.00011959913360821183
year_1955,0.000315375875292892
year_1956,0.0064636243676721005
year_1957,0.0022843687418250143
year_1958,0.0006382857829250675
year_1959,0.009754172905127634
year_1960,0.00189182171455652
year_1961,-0.0024079643672372374
year_1962,0.002045880375466693
year_1963,0.0
year_1964,0.0014721342451531202
year_1965,0.008666598377667228
year_1966,0.0
year_1967,0.001907531955345998
year_1968,0.0
year_1969,-0.0038593395277596977
year_1970,0.00047317488458395674
year_1971,0.0
